,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2014/8,,2014/11,,2015/02,,2015/05,,2015/08,,2015/11,,2016/5,,2016/8,,,Basic,Technologist,,Developer,,Sales,,,Consultant,,,Architect,,,Project Manager,,,Target,,
No,カテゴリ,,,,,目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,Level,Basic,Basiｃ,Senior,Basiｃ,Senior,Basic,Senior,Principal,Basic,Senior,Principal,Basic,Senior,Principal,Basic,Senior,Principal,Principal,,チェック用リスト
,,,上記の体系化を上から検討することができる,,,3,1,2,2,3,2,3,2,3,2,3,3,3,3,3,3,3,Intermediate,,,,,,,,,,○,○,,○,○,,,,,,
,,コンセプチュアルスキル,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,物事を理論化/体系化できる,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Intermediate,×,×,×,×,×,×,×,,×,○,○,×,○,○,×,,,,,
,,,状況に応じた改善工程の優先順位づけができる,,,,,,,,,,,,1,2,2,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
,,,改善工程を組み立てることができる,,,3,3,3,3,3,2,3,2,3,2,3,2,3,2,2,2,2,Intermediate,,,,,,,,,,○,○,,○,○,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,営業スキル,,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,サービスの説明ができる,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,アーキテクチャ戦略サービス,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
